customer_message,intent,label_source,confidence
@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp where can I chat with a support member for a false charge,PAYMENT_BILLING,rule_assisted,medium
@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp My package just got here. All good, thank you!",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,GENERAL_SUPPORT,rule_assisted,medium
"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.",PRODUCT_QUALITY,rule_assisted,high
Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,PRODUCT_QUALITY,rule_assisted,medium
@AmazonHelp I have. No luck.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,DELIVERY_ISSUE,rule_assisted,medium
@116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。
お礼と報告まで。 https://t.co/hS5VmxuIfX",SAFETY_ISSUE,rule_assisted,high
@AmazonHelp ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp ありがとうございます！
テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。",PRODUCT_TECHNICAL,rule_assisted,medium
"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item",ORDER_ISSUE,rule_assisted,medium
@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",GENERAL_SUPPORT,rule_assisted,medium
"@AmazonHelp I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.",DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp hello, I’m having an issue with a same day ship order.  Can you help me?",GENERAL_SUPPORT,rule_assisted,medium
Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,ORDER_ISSUE,rule_assisted,medium
Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,ORDER_ISSUE,rule_assisted,medium
@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",RETURN_REFUND,rule_assisted,medium
@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp,PAYMENT_BILLING,rule_assisted,medium
"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",GENERAL_SUPPORT,rule_assisted,low
the @amazonhelp queue is clueless on Amazon Household,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,GENERAL_SUPPORT,rule_assisted,low
@116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp Want to speak to someone at corp to address these issues.,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp There was only one costing a lot more than £20 and  FBA -stating eligibility !,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp All of them,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp I can’t log in because it’s locked.,ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp na ultima atualização da entrega do meu pedido, consta que não foi possível localizar o meu endereço, poderia ajudar?",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp infórmese... no voy a perder más mi tiempo...,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Many times, but still failing, and it happen with some show",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Sadly yes,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Mac book pro, with Chrome",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Mac book pro, with Chrome",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?",ACCOUNT_MEMBERSHIP,rule_assisted,medium
So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp アカウント凍結して不正アクセスを調べてもらうことになりました。
ありがとうございました。",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw",GENERAL_SUPPORT,rule_assisted,medium
"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX",ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU",ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp USAs Amazon. Com,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp Excelente servicio! Recibí mis paquetes hace un par de minutos!,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp No. Como puedo contactarlo,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I would like it replaced not refunded. But the sale is over, and doesn’t look like you have it in stock at the site. What are my other options?",RETURN_REFUND,rule_assisted,medium
@AmazonHelp It's now a police matter. You could check the police report.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,RETURN_REFUND,rule_assisted,medium
"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.",DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp No, I can't check. It shows nothing. And customer service rep was NO help.",GENERAL_SUPPORT,rule_assisted,medium
"@AmazonHelp いえいえ！
問題解決しました！！助かりました、ありがとうございます(´；ω；｀)
はい！これからもお世話になります〜🎶",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp 親切にどうもありがとうございます(;_;)(;_;),GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp 今までコンビニで支払いが出きるという支払い方法でAmazonさんにお世話になっていたんですけど、選択画面にその支払い方法が表示されなくて、色々いじってみたんですけどどうにも……！,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Trying to get a friend's playlist on my Amazon music app but it keeps giving me the following message https://t.co/o6zINm6HBC,PRODUCT_TECHNICAL,rule_assisted,medium
@AmazonHelp いつもお世話になってます(´ω`),GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Thank you so much once again for kinds of word,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp I’m looking to reroute all my packages (except 1) to a nearby Amazon locker. I’ll DM you now :),DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp Solicitud (foto del estado de cuenta),GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp 10 hours ago.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Yes.,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Still not working.  They sent me a link to reset the password, try and sign in with new password and still locked out.",PRODUCT_TECHNICAL,rule_assisted,medium
@AmazonHelp Someone keeps trying to buy playstation cards on my account.  Having a hard time getting customer service,ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp Danke für die schnelle Antwort... ja, ich werde mal nachfragen, was da schiefgelaufen sein soll. Ihnen auch einen schönen Abend noch.",GENERAL_SUPPORT,rule_assisted,low
"Ach schau an. Meine Bestellung war unzustellbar... @AmazonHelp, was ist da denn passiert? Bekomme ich mein Geld nun wieder?",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp But why has every item got  3+ days processing time when it's usually next day,ORDER_ISSUE,rule_assisted,medium
@AmazonHelp Trying to place an order this happened before and deleting and rentering my address fixed it but now it's across multiple prime accounts to the same address,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp Pago para tener el Prime con vosotros para que me tarden en llegar 10 dias? Reembolsadme la compra y lo compro en cualquier otro sitio,ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp ご丁寧にありがとうございます！
逆に面白かったので全く問題ないです！ありがとうございます！",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp I’m trying off my fire stick,SAFETY_ISSUE,rule_assisted,high
@AmazonHelp I’m trying off my fire stick,SAFETY_ISSUE,rule_assisted,high
I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭 @117090 @AmazonHelp,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Please call me,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Or you can provide me with a direct dial number and I’ll call it now,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Thank you. Spoke with customer service who was very nice &amp; helpful &amp; put me straight through to a Competent logistics person who documented issue, researched my acct &amp; was going to contact delivery Svc directly to ensure procedures followed. Time will tell. Thank you.",GENERAL_SUPPORT,rule_assisted,medium
"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp UPS supposed to pick up a return package yesterday and bring return label... never showed.,RETURN_REFUND,rule_assisted,medium
"@AmazonHelp Hecho el procedimiento, lo que me interesa y exijo es que sea devuelto mi dinero puesto que jamás he adquirido algún articulo por este medio",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp my original echo some time say things without asking here anything ! This is really wired and creepy and scary!!,PRODUCT_TECHNICAL,rule_assisted,medium
@AmazonHelp Well it says arriving today but honestly I know that’s fake as looked last four days and it’s still the same then https://t.co/3T23E69GE0,PRODUCT_QUALITY,rule_assisted,high
@AmazonHelp Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp Okay....what information do you need to be able to help then???,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp The last update was on 22nd Oct saying it’s out for delivery.....you can’t tell me it take a over two weeks to deliver https://t.co/iB2HaSBOqk,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp hi I cancelled an item today but the money has not shown back up in my bank yet can you tell me how long it takes?,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I got it sorted out, after multiple phone calls and failed chat sessions (those were horrible btw)",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Hello? So how do I contact someone if I can't log in?! I'm really concerned about what is happening with my acct and who has access to it!,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp I'm UK based. Are the contact details the same?,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,ACCOUNT_MEMBERSHIP,rule_assisted,medium
Haha @117634 has been sneakily charging me $9.99 SINCE FEBRUARY for a service I never use💩🙈👎 $90 gone!!! Thanks @AmazonHelp,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp Had a package scheduled for delivery today and it didn’t come I’m not happy,DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp Solved, Thank You",GENERAL_SUPPORT,rule_assisted,medium
"@AmazonHelp Order date
06-Oct-2017
Order #
406-8895581-1413106
Order total
   3,719.00 (1 item) check out yourself",ORDER_ISSUE,rule_assisted,medium
@AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,RETURN_REFUND,rule_assisted,medium
@AmazonHelp I have had the hassle to provide my concern on the given link twice and it’s a pain. Use the details I already mentioned. I m not doing it,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp I have had the hassle to provide my concern on the given link twice and it’s a pain. Use the details I already mentioned. I m not doing it,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Incredible! I shouldn’t post my details here Coz it’s public. While you can’t access it being in Amazon! Are you kidding me ?,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Order date
06-Oct-2017
Order #
406-8895581-1413106
Order total
   3,719.00 (delete it again)",ORDER_ISSUE,rule_assisted,medium
"@AmazonHelp Order date
06-Oct-2017
Order #
406-8895581-1413106
Order total
   3,719.00 (delete it again)",ORDER_ISSUE,rule_assisted,medium
@AmazonHelp I've returned several things lately and don't want Amazon to think I'm abusing the return policy.,RETURN_REFUND,rule_assisted,medium
@AmazonHelp I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read.,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I have checked there is no email from amazon, and amazon is in safe senders list.",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp I have filled the details,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Haven’t received any mail, can you please resend mail to __email__",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z,RETURN_REFUND,rule_assisted,medium
Please explain this @AmazonHelp https://t.co/VJ4d1ii4PH,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for.,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for.,DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp amazon just doesn’t seem to get it together, poor customer service, warranty is a scam",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I was on the phone for an hour; kids fire tablet not working , warranty is a lie and your agents are rude.",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I have a package that is showing as delivered last Friday, however it has not been and there is no note. Thanks",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp why doesn't blue light filter work on kids account on the fire kids edition?,SAFETY_ISSUE,rule_assisted,medium
@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,DELIVERY_ISSUE,rule_assisted,high
"@AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though.",DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp No package.,DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp The tracking indicated as here, and then, it seemed to go back in time, saying it was not here anymore. I believe it's USPS",DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp did amazon get hacked?,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp @115766 Can I get a confirmation that it will ship tomorrow?,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Didn’t know I needed to. Is that really a thing?! But still Prime shipping should be 2 days, correct?",ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp The carrier doesn't sell free 2 day shipping as part of a membership. Amazon does.,ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp I called customer serv, they called usps and the usps rep blamed your routing. The second the usps rep was off the phone Amazon blamed usps",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp They did not. The wrinkle is, I board a plane for the U.K. In the am and these items were part of the attire for the wedding im in.",ORDER_ISSUE,rule_assisted,medium
@AmazonHelp Yes,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Yes,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Yeah I know how to check it. There's no information still,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp you keep insisting you havnt taken any money from me dispite proof! #givememymoneyback https://t.co/CeRSmNOEdK,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd,DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp Thanks, I called. The agent says the order has been received, but not shipped. Still anticipate a Friday delivery",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Original promised delivery date was yesterday to this Friday.,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp it's been 7 days &amp; my @115821 order still hasn't shipped. #fail https://t.co/apV29xdWuM,ORDER_ISSUE,rule_assisted,medium
"@AmazonHelp リプありがとうございます！
それがデビット機能は付いていないので不思議だったのです。

いずれにせよ取り消されるみたいで安心しました！",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Should have been today before 8,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp still have not received my package I paid extra for guaranteed next day. Won't do that again,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp when its removed the system says it's inserted but unrecognized. When it's inserted the tablet behaves as though there's no card,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp it was doing this a few days ago and a factory reset dixednit, for two days. A hard reboot did not resolve.",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp it was doing this a few days ago and a factory reset fixed it, for two days. A hard reboot with card in or out does not resolve.",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp yes it was due today by 8pm and now its changed to tomorrow or the next couple days... but isn;t there a guarantee?,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp isn't prime two day shipping supposed to be guaranteed? what happens when its late?,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Talked w/ cust. serv. yesterday. Just sent an email from link. Would like a straight answer abt my order.,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp At time of order, del date was 10/29. Carrier is AMZL US.",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp So much of the programming has changed on Prime. Blues Clues was free, now it's not. Still constantly having problems with my Fire Stick.",SAFETY_ISSUE,rule_assisted,medium
"@AmazonHelp Continued buffering, loss of sound and it doesn't save where I leave off in programming.",GENERAL_SUPPORT,rule_assisted,low
@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp ご親切にどうもありがとうございます。
買おうと思った商品が出品者の意向でキャンセルになり、同じ商品が出品されたまま１万円値段が上がっていました。不可解です。",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp お答え、どうもありがとうございました。
出品者を確認の上、これからも利用させて頂きます。",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp すごっ、チェック早いですねー😸大分前に買った商品ですし、返品の手続きもめんどいんで今回は良いでーす🙋Amazonさん、どうもでーす😸,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Si, es correos y pedí ke viniesen a x el pakete pero me pedian ke me kedase o toda una mañana o toda una tarde en casa pero y mi trabajo??",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Es una devolucion,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp enviei meu ebook para o premio Kindle às 22h de hoje. Porém, a ferramenta kdp fala q demora 72h pra publicar. Vou concorrer mesmo assim, certo?",PRODUCT_TECHNICAL,rule_assisted,medium
@AmazonHelp Please do it fast,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Please do it fast,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Please do it fast,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Still not got any mail please solve my problem right now.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Not received any email,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Not received any email,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Done that. Was told I would definitely have it by 9pm yesterday &amp; it's still not been delivered!!!!,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp  don't promise a 1 day shipping with a GUARANTEED 8pm delivery when you can't keep it,DELIVERY_ISSUE,rule_assisted,medium
"@AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",ACCOUNT_MEMBERSHIP,rule_assisted,medium
"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000",DELIVERY_ISSUE,rule_assisted,medium
"@amazonhelp My order 113-8951188-2020217 says ""Left in mailroom"" but my house doesn't have a mailroom and I've been home all day.",ORDER_ISSUE,rule_assisted,medium
"@AmazonHelp お忙しい中、丁寧にありがとうございます。
申告窓口へ報告します。(｀_´)ゞ",GENERAL_SUPPORT,rule_assisted,low
