row_number,customer_message,generated_reply,relevance,groundedness,correctness,helpfulness,brand_consistency,unsupported_claims,overall_score,brief_reason
83,@AmazonHelp You give me only one answer but please help for pick up,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
85,"@AmazonHelp installed the alexa app,but it doesn't take my India address alexa weather gives me report of Seattle instead of Pune.","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
94,@AmazonHelp Kindly return my prime membership amount,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
96,@AmazonHelp I want a proper resolution here...,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
105,So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
116,@AmazonHelp こんにちは。先日Amazonギフト券チャージのやり方を教えていただいた者です。チャージが終了しアカウントに登録されたのですが、買い物でお支払い方法のコード入力とはどこに書かれてあるのですか？「次に進む」が表示されず買い物できません。どうすれば良いですか？,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
125,@AmazonHelp Hi can you tell me how I make a complaint about your delivery drivers?,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
126,@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
129,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
133,@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
136,@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
138,@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
149,@AmazonHelp 親切にどうもありがとうございます(;_;)(;_;),"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
151,"@AmazonHelp hahahaha, you sent me this yesterday. If my problem is, I can't login, how do you expect me to complete this page I have to log in to?","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
153,@AmazonHelp If nothing happens then I will put on FB also,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
159,@AmazonHelp @AmazonHelp @115850 @1402 @120781 what is the update Amazon team??,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
165,@AmazonHelp,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
166,@AmazonHelp I did not get any kindly resend.,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
171,@AmazonHelp You people always escalated issue and for another 24 hours.kindly do something substantial.still issue is unresolved. such a poor service.,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
175,"@AmazonHelp Tried that the first time, customer service operators can’t seem to read an email","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
178,@AmazonHelp Hahaha. Reported multiple times...even spoke to ur so called customer service.. no help...,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
183,@115850 @AmazonHelp 'Handed over directly to Customer' when I'd left this place at 6:00 pm &amp; never returned for the night. Trust @115850 to do the impossible,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
187,"@115850 @115821 @AmazonHelp I waited 15 days,sent 10 email,was assured tht case escalted,todays response WE CANNOT HELP,customer service?","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
