row_number,customer_message,current_intent,suggested_intent,current_action,suggested_action,reason_for_review
37,"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?",ACCOUNT_MEMBERSHIP,PRODUCT_TECHNICAL,AUTO_HANDLE,AUTO_HANDLE,The message asks about an Echo device's technical capabilities.
40,@AmazonHelp Have sent the prouduct back .. and after a month ur complaining that the product sent is wrong .. @AmazonHelp,GENERAL_SUPPORT,RETURN_REFUND,ESCALATE,ESCALATE,"A returned product is disputed after a month, requiring human review."
50,@AmazonHelp Gerade nachgeschaut. Kommt erst morgen...dann kann ich ja meine Planung für diese und nächste Woche verwerfen -.- https://t.co/6BT20Pvdg2,GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,AUTO_HANDLE,The customer reports that the delivery is delayed until tomorrow.
54,"@AmazonHelp OKAY, now I get ""connection timed out"", does GFW play a part here? (I'm in China). Even though, why ""wrong password""?",ACCOUNT_MEMBERSHIP,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,ESCALATE,The message combines connection and incorrect-password/account access problems.
59,"@AmazonHelp So this order 407-7402036-7182732
Placed on 30th and supposed to reach me on 2nd  November
Now is this as per amazon prime delivery std ??",ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The message asks whether an order's promised delivery meets Prime delivery expectations.
69,"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!",RETURN_REFUND,RETURN_REFUND,AUTO_HANDLE,ESCALATE,The customer says a refund remains missing despite repeated apologies.
73,@AmazonHelp Or you can provide me with a direct dial number and I’ll call it now,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,AUTO_HANDLE,"The customer requests a direct support phone number, not account help."
74,@AmazonHelp Yes I've already contacted my bank and they are saying.. no such transaction we can see from Amazon,PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,ESCALATE,"The bank cannot find the Amazon transaction, so the payment discrepancy needs review."
80,@AmazonHelp Oui j’attends un mail de remboursement qui n’est jamais arrivé,ACCOUNT_MEMBERSHIP,RETURN_REFUND,AUTO_HANDLE,ESCALATE,The customer is still waiting for a refund email.
86,@AmazonHelp Yes I've filled details but still haven't received any call. And I Yesterday I called to customer care and they kept me waiting for 30 mints,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The unresolved issue concerns repeated failed contact and a missed callback.
89,"@AmazonHelp Please simply answer my question.  I am not an AmazonFresh customer, just a condominium unit owner inconvenienced by UR customers  &amp;trying 2 figure out how we can all accommodate one another.  Y R U making this so complicated? Direct message me with UR contact info.",GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,ESCALATE,The customer asks about accommodating delivery-driver activity at a residence.
90,@AmazonHelp My Halloween costume is a day late. Can you help?,GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,AUTO_HANDLE,The customer's Halloween costume delivery is one day late.
91,"@AmazonHelp I have not recieved a mail. I cannot reply to a mythical mail, right?",ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer cannot find the correspondence needed to continue support.
97,@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,Multiple calls produced no resolution or promised callback.
98,@AmazonHelp Pourtant c'était écrit Prime en dessous de l'article quand il était dans mon panier...,ACCOUNT_MEMBERSHIP,ORDER_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The message questions a Prime promise shown during ordering.
99,@AmazonHelp No option of call with customer care,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer has no available support call option.
100,@AmazonHelp Ur customer care is disconnecting my call by saying that we would not be able to give you any further I sight over this issue.Please explain,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,Customer care disconnected the customer and refused further help.
103,@AmazonHelp No any solution provide from your side and I am unable to contact with Amazon care because our call is blocked by Amazon..,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer cannot contact Amazon because calls are blocked and the issue is unresolved.
104,"@AmazonHelp Replied asking me if I wanted to join love film, that I could keep dvds I have, that film clubs runs for schools(run it)&amp;that it’s stopping",GENERAL_SUPPORT,ACCOUNT_MEMBERSHIP,ESCALATE,ESCALATE,The message concerns a discontinued subscription/service and requires account support.
105,So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The customer's Prime delivery failed for two days and caused a serious complaint.
107,@AmazonHelp Till now also I don't received any update from your end,DELIVERY_ISSUE,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer reports repeated lack of updates from support.
110,"Ach schau an. Meine Bestellung war unzustellbar... @AmazonHelp, was ist da denn passiert? Bekomme ich mein Geld nun wieder?",GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,ESCALATE,The order was undeliverable and the customer asks about receiving a refund.
111,"@AmazonHelp I am getting any mails nor any calls from u.
If not able to solve let me know...I ll uninstall Amazon n share my feedback with others too",ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer is receiving neither email nor phone support and threatens to leave.
113,@AmazonHelp I need a proper compensation and full refund of my order. Contact me on 9140560819 for any other detail.,RETURN_REFUND,RETURN_REFUND,AUTO_HANDLE,ESCALATE,"The customer requests compensation and a full refund, requiring human review."
115,"@AmazonHelp @7108 Found error on website, one click on $4.85 makes it $285 on card select screen https://t.co/zrzUwV6Cl1",PRODUCT_TECHNICAL,PAYMENT_BILLING,AUTO_HANDLE,ESCALATE,"The displayed price changes dramatically at card selection, indicating a billing risk."
116,@AmazonHelp こんにちは。先日Amazonギフト券チャージのやり方を教えていただいた者です。チャージが終了しアカウントに登録されたのですが、買い物でお支払い方法のコード入力とはどこに書かれてあるのですか？「次に進む」が表示されず買い物できません。どうすれば良いですか？,GENERAL_SUPPORT,PAYMENT_BILLING,ESCALATE,ESCALATE,The customer cannot use a gift-card payment code to complete a purchase.
118,@AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,PAYMENT_BILLING,RETURN_REFUND,AUTO_HANDLE,ESCALATE,A promised refund has not been completed despite multiple calls.
119,"@AmazonHelp how to stop my prime membership, since i was scammed and you do nothing to me, i need to cancel my membership.",PAYMENT_BILLING,ACCOUNT_MEMBERSHIP,ESCALATE,ESCALATE,The customer reports being scammed and wants to cancel a membership.
124,@AmazonHelp I have sent an email as the same thing happened to me today. The delivery attempt was never made.,ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The customer reports that a delivery attempt was never made.
126,@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer wants to know what action was taken on a complaint.
127,"@AmazonHelp 24 to 48 hours 2resolve.But WTH! First,Amazon says 'Delivered' then,says 'Item could not be delivered,as there was no one 2accept delivery'",DELIVERY_ISSUE,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The tracking status contradicts the failed-delivery explanation.
131,@AmazonHelp Trust me it useless to narrate my experience in the app feedback...I want a resolution... And commitment that this won't be repeated and a compensation,PRODUCT_TECHNICAL,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer reports repeated unresolved service failure and requests compensation.
132,"@AmazonHelp Called USPS for delivery info. Estimated hold time for the next representative is FIFTY MINUTES. As YOUR customer, I shouldn't be doing this",ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The customer is discussing carrier contact and delivery information.
141,"@AmazonHelp Si, es correos y pedí ke viniesen a x el pakete pero me pedian ke me kedase o toda una mañana o toda una tarde en casa pero y mi trabajo??",GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,AUTO_HANDLE,The message concerns courier pickup scheduling and the time required at home.
143,"@AmazonHelp That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..!
Ur seller is even not taking calls nw",RETURN_REFUND,RETURN_REFUND,AUTO_HANDLE,ESCALATE,The refund issue remains unresolved and the seller is not responding.
145,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",PAYMENT_BILLING,RETURN_REFUND,AUTO_HANDLE,ESCALATE,The message explicitly says the refund process has not completed.
147,@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK,ORDER_ISSUE,ORDER_ISSUE,AUTO_HANDLE,ESCALATE,"The row contains only an order-details link, so there is insufficient issue detail for auto-handling."
151,"@AmazonHelp hahahaha, you sent me this yesterday. If my problem is, I can't login, how do you expect me to complete this page I have to log in to?",ACCOUNT_MEMBERSHIP,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,ESCALATE,The customer cannot log in and therefore cannot complete the support page.
154,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,ESCALATE,The customer was charged after being told membership would not renew.
156,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,DELIVERY_ISSUE,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The customer disputes a delivered scan and reports a repeated non-delivery.
160,@AmazonHelp Do u hav brain the product is taking more then a week to reach me and i am #primememeber and can u read i need a #refund now i dnt #trust,RETURN_REFUND,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The primary issue is a Prime shipment more than a week late; the requested refund adds risk.
161,I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭 @117090 @AmazonHelp,GENERAL_SUPPORT,PRODUCT_TECHNICAL,ESCALATE,AUTO_HANDLE,The customer reports missing episodes from a digital viewing service.
164,"@AmazonHelp My package just got here. All good, thank you!",DELIVERY_ISSUE,GENERAL_SUPPORT,AUTO_HANDLE,AUTO_HANDLE,The customer confirms the package arrived and expresses thanks; escalation is unnecessary.
166,@AmazonHelp I did not get any kindly resend.,GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,ESCALATE,"The customer says something was not received and asks for a resend, but details are incomplete."
167,"@AmazonHelp Except that isn't the case.
1 Why not?
2 Why are you sending people to The Works?
3 Why is that book in Home &amp; KItchen?
4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to?
5 What is the point of having Prime?",ACCOUNT_MEMBERSHIP,ORDER_ISSUE,AUTO_HANDLE,ESCALATE,The customer raises several order/catalog/Prime questions with no single safe resolution.
170,"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX",ACCOUNT_MEMBERSHIP,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,ESCALATE,The customer requests account closure after unresolved support contact.
174,@AmazonHelp I already replied on mails..no more mails...I have seen the way Amazon handled the situation...call me &amp; clear can it done or not,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer requests a call to resolve an unanswered support matter.
175,"@AmazonHelp Tried that the first time, customer service operators can’t seem to read an email",ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer reports that support operators are not processing the email.
176,@AmazonHelp The problem is with the router that i ordered. Which is dispatched back to your fulfillment centre! Without my permission! Pathetic service!,PRODUCT_TECHNICAL,ORDER_ISSUE,AUTO_HANDLE,ESCALATE,"The ordered router was returned to fulfillment without permission, requiring investigation."
178,@AmazonHelp Hahaha. Reported multiple times...even spoke to ur so called customer service.. no help...,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,Repeated reports and customer-service contact have produced no help.
179,@AmazonHelp Feedback? Are you kidding me? Where is my money and the package...bloddy idiots I am the prime customer and I want the shipment to be delivered rite now...I don't care about ur internal review...get me ur escalation point of contact to call me,PAYMENT_BILLING,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The customer reports both missing money/package and requests an escalation contact.
182,"@AmazonHelp J'ai voulu annuler ma commande, mais Amazon dit que c'est soit disant trop tard... Vraiment barbant chez Amazon ! Que des problèmes!",GENERAL_SUPPORT,ORDER_ISSUE,ESCALATE,ESCALATE,The customer cannot cancel an order and needs order-level intervention.
183,@115850 @AmazonHelp 'Handed over directly to Customer' when I'd left this place at 6:00 pm &amp; never returned for the night. Trust @115850 to do the impossible,RETURN_REFUND,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,"The delivery scan says handed directly to the customer, but the customer was absent."
184,"@AmazonHelp so after wasting more than 1.5 month, now you are telling me the product is out of warranty. i had gone to iball 1.5 months back .",RETURN_REFUND,PRODUCT_QUALITY,AUTO_HANDLE,ESCALATE,The customer reports a product warranty dispute after a long unresolved repair issue.
185,@AmazonHelp What do you mean prices are ever changing? Is @115850 a stock exchange? And how can you charge more than MRP? Should I sue you?,PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,ESCALATE,The customer disputes being charged more than the stated maximum retail price.
186,@AmazonHelp It is a doorstep pick up but I need to bear the charges for the courier while I am struggling to get a refund for the already paid order,PAYMENT_BILLING,RETURN_REFUND,AUTO_HANDLE,ESCALATE,The customer disputes pickup charges while waiting for a refund.
187,"@115850 @115821 @AmazonHelp I waited 15 days,sent 10 email,was assured tht case escalted,todays response WE CANNOT HELP,customer service?",ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer waited 15 days and was told support cannot help despite escalation.
188,@AmazonHelp わわ、ご丁寧に返信頂き、ありがとうございます(_ _*)もしかしたらそうなのかも知れません💦引き落とし確認前に購入してしまった物があるので、取り敢えず月会費に変更してみました。次月利用予定なければキャンセルする予定です。,GENERAL_SUPPORT,PAYMENT_BILLING,ESCALATE,ESCALATE,The message concerns a charge/debit and changing or cancelling a paid membership.
190,@AmazonHelp Hi ...enough mails done but response is very discouraging... contact me on call,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer has sent many emails without a useful response and requests a call.
191,"@AmazonHelp I was on the phone for an hour; kids fire tablet not working , warranty is a lie and your agents are rude.",SAFETY_ISSUE,PRODUCT_TECHNICAL,ESCALATE,ESCALATE,Fire Tablet malfunction and a warranty dispute are technical and unresolved; 'fire' is the product name here.
192,@AmazonHelp Ur customer care didnt provide me a correct answer,ACCOUNT_MEMBERSHIP,GENERAL_SUPPORT,AUTO_HANDLE,ESCALATE,The customer reports an incorrect support answer and needs human clarification.
193,@AmazonHelp Thank you so much once again for kinds of word,GENERAL_SUPPORT,GENERAL_SUPPORT,ESCALATE,AUTO_HANDLE,This is a thank-you message with no unresolved issue; escalation is unnecessary.
195,"@AmazonHelp @115850  @120040
Even after your team's promise, I have not received my cashback of INR1500 before deadline given by them.",PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,ESCALATE,A promised cashback payment missed its deadline.
198,@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,ORDER_ISSUE,ORDER_ISSUE,AUTO_HANDLE,ESCALATE,"The customer was told to cancel but the order remains active, requiring intervention."
199,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",DELIVERY_ISSUE,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The customer disputes a delivered status and says they were home but received nothing.
