customer_message,amazon_reply,intent,expected_action,reason
@AmazonHelp Not impressed with Amazon Logistics. Computer parts delayed a week and a refund is the only option? Really disappointed.,@119619 I'm sorry it's been delayed. We'd like to look into this. Please send details about this order here: https://t.co/Wze1ktETWY. ^LH,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Nothing on my order on your web site.,"@118925 Late order usually arrive the next business day. If your order hasn't arrived by 8:00 PM tomorrow, please let us know. ^LR",ORDER_ISSUE,AUTO_HANDLE,"The message concerns an order, cancellation, purchase, or seller issue. No explicit high-risk signal was found."
@AmazonHelp I have filled the form but I don't expect anything concrete to happen besides paying lip-service. No one comes back to say why this happens,"@120030 Thank you for confirming, we are looking into it and will get back to you soon with an update. ^SI",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp AMZL US,@117955 Please provide your details here: https://t.co/zUIZ61Nac2 and my team will escalate to Amazon Logistics. ^EZ,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Pathetic reply by your caller,@119791 Did we happen to miss the estimated delivery date? ^AG,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp I was told my account is on hold, if I can’t use my gift cards please return my money back to me Okay",@121057 Hi. Were you give advice on how to remove the lock from your account? ^DC,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer @AmazonHelp. Unhappy!",@119036 I'm so sorry for the frustration! What was the date given in the original confirmation e-mail: https://t.co/SsPOz2ryIS? ^DG,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp In the last four days U people are not able to arrange the pick up??? Is there any time limit for this to solve the issue???,"@120227 We've sent you a correspondence, kindly respond to that for further assistance. ^MN",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Yes,@118079 I hope you are willing to give us a chance in the future to make things right. ^TN (2/2),GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Did the same..but din't get any response..n ur chat executive says we don't have any record of u..,@119700 We are right on it! We'll get back to you soon. ^AG,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp Order no - 403-7559101-5645129 
Return reference - 710398288491
Article name - puma shoes",@119451 This being a social platform we can not access your account info. Please confirm if you've received the refund reference(1/2)^SF,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Your customer service has reverted saying that apparently the package has been delivered and signed by receipt my yesterday. Not true.,@120037 Sorry for the trouble with the delivery. Kindly drop in your details here: https://t.co/2nQ2CFxoWn and we'll work on it.^NS,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp hey I started a Amazon prime trial..i was charged $1..wats that about ?,"@119908 When you sign up for a Prime free trial, we send an authorization to your bank. Here's more info: https://t.co/9Kj5TvSFFo ^JP",PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp You have and it’s been pushed (again) to Friday or possibly Saturday or god forbid Monday. Was told it would be diverted by 8pm tonight.,@119403 Please let us know if doesn't arrive by Friday! We'd like to help! ^ZW,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,@116314 How long has it been since you've e-mailed the seller? ^TR,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@1404 @AmazonHelp  product is not deliverable to any single pincode in India. making customers fool by listing product at low price https://t.co/3hxhLgCaWd,@120779 Certain products can't be shipped to some selected pincodes because of the unavailability of courier facility there. (1/2)^AU,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp Kindly see this picture.. what kind of crap is this . I haven't received refund for this product.its been two months . https://t.co/7b9FuW1gyI,"@120700 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.
 ^CB",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Is there a human working there or robots cant u see i have replied twice guyzzz pls call on 8424869098 #poorcustomerservice #fraud #complain,@119701 with your preference and we'll get back. (2/2)^YP,PAYMENT_BILLING,ESCALATE,"The message concerns payment, billing, a charge, price, or money. Possible fraud, counterfeit, or unauthorized activity requires human review."
@AmazonHelp I received product with torn package with clear damage however small though. Proper care was not taken while delivering. And now if I replace product it will take 5-7 days atleast which I can not afford. I have no option but to keep it and suffer due to bad practise in delivery.,"@120684 Sorry to know you received a damaged product, we certainly did not expect this to happen. 1/2 ^PS",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp I assumed your previous question meant you were going to do something...? https://t.co/Ry03t6eDaK,@120620 I'm afraid we can't access order/account info here. What does the new update indicate? ^DC,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp heißt das, das  ich umsonst zu Hause geblieben bin und ich hätte zur Arbeit gehen können da es wohl heute nicht mehr kommt? https://t.co/gSCaua0Qrd",@120916 Das lässt sich über Twitter schlecht sagen. Hast du mal in der Sendungsverfolgung des Transportdienstes nachgeschaut? ^AN,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp I need a solution why u r not helping consumers on self return things. M not bought product to self return. Why Amazon allows such seller,@119904 to our team internally to work on it. 2/2 ^SB,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?",@120773 It can connect to all the smart electronics at your place. 3/3 ^RW,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp infórmese... no voy a perder más mi tiempo...,@116616 ¿Puedes explicarnos bien el inconveniente  y mandarnos los detalles en este enlace por favor? https://t.co/kUkXHFkYWd  ^JJ,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp If such is the case I regret my order with Amazon. I was thinking more of a better solution such as delivering product again and then collecting the first one. Since I need the book for study, I can not waste time returning it. I can only regret about my choice about Amazon.",@120684 The replacement order could be released only when the original product is picked up and is returned to us.(1/2)^AU,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Have sent the prouduct back .. and after a month ur complaining that the product sent is wrong .. @AmazonHelp,"@120173 I'm sorry, we never intended this. Please reply to the email here: https://t.co/DTSNmGldJf and we'll get back to you. ^SI",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp I still haven't received any call from your end. Kindly resolve my query,@120700 Have you submitted your details through the link shared previously? ^HK,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp U need to ur mails first.. Are they of any use???,@120777 Sorry for the disappointment. We can't gain access to your account via Twitter. Please reply to the email from (1/2) ^KA,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122","@120032 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public.  2/2^VH",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?,@116613 Hier findest du alle Infos darüber: https://t.co/FSmvkW0SJB ^AS,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp  please ship this today ORDER # 408-8285636-6191504,@120538 Request you to wait till estimate delivery date for an update. I'm positive that it will be delivered accordingly. ^RW,ORDER_ISSUE,AUTO_HANDLE,"The message concerns an order, cancellation, purchase, or seller issue. No explicit high-risk signal was found."
@AmazonHelp no body inform me. once u return that parcel. please send the tracking id or parcel details. but after 10days i call amazon custamare care,"@119214 Thank you for sharing your details, Dhinesh. We'll check your concern and reach you soon. ^VG",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
.@115850 @AmazonHelp thanks for no replies whatsoever on my complaint.an you please tell me what more should I do? @119351 @1015,@119350 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2),GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp 連絡しましたよ。仕様だそうで。どういうつもりか存じませんが、かなり問題のある仕様だと思いますが。,@120093 当サイトのご利用に際しわかりづらい点があり、お手数をおかけいたしました。いただいた貴重なご意見は、真摯に受け止め、サービス向上に努めてまいります。　SM,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp My return date is near so please fast proccess.,"@120261 We'd like to help you. If the details are shared with us from the link provided, we'll get back soon with an update. ^BS",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Gerade nachgeschaut. Kommt erst morgen...dann kann ich ja meine Planung für diese und nächste Woche verwerfen -.- https://t.co/6BT20Pvdg2,"@120916 Das ist ärgerlich. Wäre es für dich praktischer, wenn die Sendung dann an eine Abholstation umgeleitet wird? ^AN",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp Yes, butvthey lied. Told me carrier and said they would contact and call me back. The never called. I hsdvto make 2 additional calls",@118709 I'm sorry you've had to invest so much time in this! Were we able to help resolve the issue on the last call? ^TL,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Oui contacté ma banque et porté plainte pour fraude. Je ne sais pas si je vais pouvoir être remboursée. Etait ce une fraude ou une erreur ?,"@120912 Je vous propose de relancer notre service client, pour vérifier cela via https://t.co/hgIrz98cdI
^YL",PAYMENT_BILLING,ESCALATE,"The message concerns payment, billing, a charge, price, or money. Possible fraud, counterfeit, or unauthorized activity requires human review."
@AmazonHelp https://t.co/QCt7kMtESE,"@120918 Hi, have you been in touch with the publishers to check the details? ^TS",GENERAL_SUPPORT,ESCALATE,The message contains too little issue detail for safe automatic handling.
"@AmazonHelp OKAY, now I get ""connection timed out"", does GFW play a part here? (I'm in China). Even though, why ""wrong password""?","@120765 Hi. If you get in touch: https://t.co/hApLpMlfHN, we'll be happy to look into this with you. ^DC",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Had a package scheduled for delivery today and it didn’t come I’m not happy,@117636 I'm sorry your shipment hasn't arrived; what is the latest status on the order: https://t.co/Y5jpI9gRhE? ^LR,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@120612 @AmazonHelp Right some time they people make fool. Before perchasing they people not mention anywhere for self return so why we do it otherwise we...,"@120261 As mentioned earlier, reply to our email correspondence with your concerns. We'll check and respond accordingly. ^SC",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp .com,"@120322 Apologies, have you looked into filling an A-Z Claim: https://t.co/OgRmc6aXUX? ^JJ",GENERAL_SUPPORT,ESCALATE,The message contains too little issue detail for safe automatic handling.
@AmazonHelp Original promised delivery date was yesterday to this Friday.,@118084 Please give us a call here: https://t.co/Q7Ftz6nj80 so we can take a look into this with you! ^TR,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
"@AmazonHelp So this order 407-7402036-7182732
Placed on 30th and supposed to reach me on 2nd  November
Now is this as per amazon prime delivery std ??",@120086 internally to work on it. Please don’t provide your order/account details as we consider them to be personal information. 2/3 ^SB,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,@119353 so that we can get in touch with you. (2/2) ^VM,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp @115833 What is 2nd Generation? I have Amazon Echo from US ? Not the Echo Dot.,@120231 Please connect with us here: https://t.co/vlvfJr4nN9 over phone so we could explain you the difference. ^HK,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
"@AmazonHelp いえいえ！
問題解決しました！！助かりました、ありがとうございます(´；ω；｀)
はい！これからもお世話になります〜🎶",@116918 ( ´∀｀)bｸﾞｯ! TY,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Ich werd es mal versuchen! Danke für die schnelle und gute Hilfe! Noch ein schönen Feiertag! ❤😁,@120682 Danke! Wir wünschen dir natürlich auch noch einen schönen Feiertag 🙂 ^DS,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Its not my issue for return pick up. U people not mention any where before purchase product otherwise i think about purchase this order.,"@120261 I understand that you're upset, Dharmesh. Could you confirm, submitting your details using the link shared earlier? ^MP",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp yes did that but no outcome till now. waste of time,@120779 I'm sorry about the trouble. Kindly share your details here: https://t.co/cQVomR1pWz and we'll check with it. ^KH,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp ""Refused shipment - on the way back.""","@119447 Oh my! Just to clarify, can you tell us who the carrier of this order is? ^AL",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Is there any update??,"@120227 We've responded to you via email, Saurabh. Please reply to the email sent for more information. ^KS",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!","@119700 You must have received a correspondence to your registered email address, request you to check the same. ^SH",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp I rather not take prime then and use the normal service as I don’t see any diff or advantages,"@120086 For some items, the option of one-day or two-day delivery may not available, in this case (1/2) ^VM",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp Solved, Thank You",@117638 You're welcome. Do keep us posted for any further assistance. ^MK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"Bad service &amp; no reply! Why do Amazon make it so hard to get in touch! Delivery due yesterday as paid for, not in 2 more days! @AmazonHelp https://t.co/dx43TTZIQK","@120619 Hi sorry to hear that, were you given a reason for the delay? ^AS",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Or you can provide me with a direct dial number and I’ll call it now,@117198 Hi there!  We are not able to see customer's account information here on Twitter.  Please reach out to us by calling 866-216-1072 and keep us updated on the outcome! ^SP,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Yes I've already contacted my bank and they are saying.. no such transaction we can see from Amazon,"@120700 In that case, I request you to file a charge dispute, the bank will help you further. Appreciate your cooperation. ^BS",PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
"@AmazonHelp Mac book pro, with Chrome",@116617 Hi! I just wanted to ask if my colleagues could assist you? Regards ^TA,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,@118832 Thank you for bringing this to our attention! I understand the concern. You can report this here: https://t.co/1oz4X7rU5m (1/2),ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp I already talked to your customer care. They are saying kindle prime reading is only available for US residents. I am asking why?,@120475 Amazon.in has recently introduced the Prime membership and we are trying to provide you the best possible offers. (2/3) ^SI,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp done.,"@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Please reply with necessary resolution...,@118505 email ID. Kindly check it here: https://t.co/8DAc10S7ww. 2/2 ^RS,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Oui j’attends un mail de remboursement qui n’est jamais arrivé,"@121049 D'accord, Veuillez nous tenir informés si vous avez reçu l'email de remboursement.",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp have a query regarding cash back during 14-17 October sale. Email/DM ?,@119454 We'd like to help you with the cash back. Kindly get in touch with our support team here: https://t.co/rS49hgaADF ^AK,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp I allready replied. I clearly say that please pick up from your hand.,@120261 Thank you for confirming that you've responded to our email. We'll definitely get back. Request you to wait till then. ^SK,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp You give me only one answer but please help for pick up,"@120261 Dharmesh, please know that we won't be abel to access your account details from Twitter. Hence, kindly share the details. ^MS",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Please do it fast,"@118231 As this is account related, our specialist team are the best ones to assist you.  (2/3) ^SV",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp installed the alexa app,but it doesn't take my India address alexa weather gives me report of Seattle instead of Pune.",@119629 Request you to change the country settings. Please click here:https://t.co/crghASQyRX. Login with your amazon 1/2 ^SH,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp Yes I've filled details but still haven't received any call. And I Yesterday I called to customer care and they kept me waiting for 30 mints,"@120700 it here: https://t.co/8DAc10S7ww. Reply to the email from us &amp; request for call, so we could connect with you via phone. 2/2 ^RS",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp form has been filled awaiting for a solution n refund. I have already invested my energy in explaining before, kindly treat it urgent.",@119700 Apologies for the bad experience. Thanks for sharing your details. We'll get in touch with you. Appreciate your patience. ^AK,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
"@AmazonHelp Arriving Today: Your package with Dell KM117 Wireless Keyboard Mouse is out for delivery.Amt: Rs.1,399. https://t.co/JuXkvDFU1Q","@120316 When the product is out for delivery, it will be delivered before 8 pm. Kindly wait until then. Do keep us posted. ^AK",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
"@AmazonHelp Please simply answer my question.  I am not an AmazonFresh customer, just a condominium unit owner inconvenienced by UR customers  &amp;trying 2 figure out how we can all accommodate one another.  Y R U making this so complicated? Direct message me with UR contact info.","@118951 We'll ask customers to leave their totes out for pickup. However, they shouldn't be left for 10 or more days awaiting pickup. For security, we're unable to DM personal details. Once we receive your information at the link we've referenced, we can help sort this. ^RA",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp My Halloween costume is a day late. Can you help?,"@118354 I'm so sorry we've let you down. Please reach us here: https://t.co/hApLpMlfHN, so we can explore options with you. ^LL",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp I have not recieved a mail. I cannot reply to a mythical mail, right?",@120613 Sorry for the inconvenience. You may check the email from our team here: https://t.co/NTkrxpsbHJ if you are unable (1/2) ^KA,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Thanks. I wish the same degree of concern were shown about my complaint though.,@118701 Could you please confirm if you have replied to our email? ^MK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp ありがとうございました,"@119213 リプライありがとうございます。
最近、Amazonを騙るフィッシングが増えているようでございますので、ご注意くださいませ(*´︶`*) TY",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Kindly return my prime membership amount,@119791 Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
"@AmazonHelp This is da third time am providng the details. Sorry, but i donot have the time.If i dont get the product,i wll make sure you guys regret it",@120613 can look into the issue and get back to you. 2/2 ^SH,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp I want a proper resolution here...,"@120228 Due to restricted access to your amazon account through Twitter, we shall not be able to provide any update here. (1/2) ^SI",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,@116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Pourtant c'était écrit Prime en dessous de l'article quand il était dans mon panier...,@120849 Prime vous offre des avantages sur les frais de livraisons mais ne garantie pas une livraison en un jour ouvré.,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp No option of call with customer care,"@120469 If you're unable to arrange a call back, kindly contact our support team using the chat/email option and we'll help you. ^ZH",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
